"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"05/11/2024 12:00:00 AM","subway","225","47-50 Sts-Rockefeller Ctr (B,D,F,M)","Manhattan","omny","OMNY - Full Fare","310","0","40.758663","-73.98133","POINT (-73.98133 40.758663)"
"05/11/2024 08:00:00 PM","subway","129","Halsey St (L)","Queens","omny","OMNY - Seniors & Disability","1","0","40.695602","-73.90408","POINT (-73.90408 40.695602)"
"05/11/2024 01:00:00 AM","subway","601","14 St (F,M,1,2,3)/6 Av (L)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","16","0","40.738228","-73.99621","POINT (-73.99621 40.738228)"
"05/11/2024 01:00:00 AM","subway","113","Knickerbocker Av (M)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","40.698666","-73.91971","POINT (-73.91971 40.698666)"
"05/11/2024 02:00:00 AM","subway","394","110 St (6)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","2","0","40.79502","-73.94425","POINT (-73.94425 40.79502)"
"05/11/2024 11:00:00 PM","subway","298","207 St (1)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","5","0","40.86462","-73.91882","POINT (-73.91882 40.86462)"
"05/11/2024 03:00:00 AM","subway","427","West Farms Sq-E Tremont Av (2,5)","Bronx","omny","OMNY - Full Fare","4","1","40.840294","-73.88005","POINT (-73.88005 40.840294)"
"05/11/2024 01:00:00 PM","subway","259","Kew Gardens-Union Tpke (E,F)","Queens","metrocard","Metrocard - Fair Fare","18","1","40.71444","-73.83101","POINT (-73.83101 40.71444)"
"05/11/2024 05:00:00 PM","subway","79","86 St (N)","Brooklyn","omny","OMNY - Full Fare","25","4","40.59272","-73.97823","POINT (-73.97823 40.59272)"
"05/11/2024 08:00:00 AM","subway","442","Eastchester-Dyre Av (5)","Bronx","metrocard","Metrocard - Seniors & Disability","5","1","40.8883","-73.83083","POINT (-73.83083 40.8883)"
"05/11/2024 07:00:00 AM","subway","427","West Farms Sq-E Tremont Av (2,5)","Bronx","metrocard","Metrocard - Unlimited 30-Day","10","0","40.840294","-73.88005","POINT (-73.88005 40.840294)"
